id	well	plate	total_reads	coverage	genecounts	treatment	RNAlibBatch	RNAseqBatch	DNAlibBatch	DNAseqBatch	egglayBatch	eclosionBatch	platingBatch	part	mainchrgenecounts
108_G7_b	108_G7	G7	108	13646372	4.02412	2897409	1	4	6	1	1	2	2	22	body	2378302
108_G7_h	108_G7	G7	108	13646372	4.02412	5152873	1	1	1	1	1	2	5	23	head	4194624
108_G8_b	108_G8	G8	108	14400870	3.92804	3033228	1	4	6	1	1	2	2	22	body	2511463
108_G8_h	108_G8	G8	108	14400870	3.92804	1379967	1	1	1	1	1	2	5	23	head	1119839
108_G9_b	108_G9	G9	108	4873964	1.74878	2550554	1	4	6	1	1	2	2	22	body	2093780
108_H1_b	108_H1	H1	108	5917702	2.48306	1537462	1	4	6	1	1	2	2	22	body	1200975
108_H10_b	108_H10	H10	108	16605094	4.51324	2935372	1	4	6	1	1	2	2	22	body	2464805
108_H12_b	108_H12	H12	108	6795932	1.60572	942786	1	4	6	1	1	2	2	22	body	773219
108_H3_b	108_H3	H3	108	25443920	5.54009	1339154	1	4	6	1	1	2	2	22	body	1053139
108_H5_b	108_H5	H5	108	20735646	5.32242	2581668	1	4	6	1	1	2	2	22	body	2064406
108_H7_b	108_H7	H7	108	15357592	4.70104	970994	1	4	6	1	1	2	2	22	body	870824
108_H8_b	108_H8	H8	108	12616534	2.35971	2735031	1	4	6	1	1	2	2	22	body	2268245
108_H8_h	108_H8	H8	108	12616534	2.35971	4219713	1	1	1	1	1	2	5	23	head	3561915
108_H9_b	108_H9	H9	108	11787346	3.38234	2938347	1	4	6	1	1	2	2	22	body	2312633
109_A10_h	109_A10	A10	109	25490530	4.06591	5501571	1	3	2	1	1	2	5	23	head	4764859
109_A4_h	109_A4	A4	109	31483814	5.50663	3594000	1	3	2	1	1	2	5	23	head	3010555
109_A6_h	109_A6	A6	109	25783526	4.79875	4711134	1	3	2	1	1	2	5	23	head	3942694
109_B1_h	109_B1	B1	109	23591768	3.2148	4848663	1	3	2	1	1	2	5	23	head	4083635
109_B11_h	109_B11	B11	109	27263262	6.13367	2635599	1	3	2	1	1	2	5	23	head	2147460
109_B12_h	109_B12	B12	109	29074998	4.54517	2850446	1	3	2	1	1	2	5	23	head	2412787
109_B4_h	109_B4	B4	109	32664650	5.57553	3671770	1	3	2	1	1	2	5	23	head	3135276
109_B5_h	109_B5	B5	109	25561388	4.68371	3153181	1	3	2	1	1	2	5	23	head	2677951
109_B6_h	109_B6	B6	109	25506264	3.88671	2505301	1	3	2	1	1	2	5	23	head	2058618
109_B8_h	109_B8	B8	109	64647056	8.45373	2944051	1	3	2	1	1	2	5	23	head	2506037
109_C11_h	109_C11	C11	109	13927962	4.01043	1945084	1	3	2	1	1	2	5	23	head	1640859
109_C3_h	109_C3	C3	109	24844162	4.13556	2149998	1	3	2	1	1	2	5	23	head	1721485
109_C4_h	109_C4	C4	109	39374950	4.89369	4785807	1	3	2	1	1	2	5	23	head	3908764
109_C5_h	109_C5	C5	109	30332192	4.05737	3563227	1	3	2	1	1	2	5	23	head	3014081
109_C6_h	109_C6	C6	109	30330256	4.85208	4561518	1	3	5	1	1	2	5	23	head	3668558
109_D12_h	109_D12	D12	109	19528338	3.96108	9732996	1	3	4	1	1	2	5	23	head	7397168
109_D2_h	109_D2	D2	109	24093462	4.70878	2806096	1	3	2	1	1	2	5	23	head	2285624
109_D3_h	109_D3	D3	109	17773350	4.33628	2341304	1	3	2	1	1	2	5	23	head	2038420
109_D4_h	109_D4	D4	109	25808640	4.65343	5278986	1	3	5	1	1	2	5	23	head	4187684
109_D6_h	109_D6	D6	109	18021686	3.59675	5356016	1	3	5	1	1	2	5	23	head	4494110
109_E10_h	109_E10	E10	109	15068190	5.39109	3862486	1	3	2	1	1	2	5	23	head	3156390
109_E11_h	109_E11	E11	109	19481752	5.11638	6863138	1	3	5	1	1	2	5	23	head	5822027
109_E2_h	109_E2	E2	109	19945702	4.24306	2525555	1	3	2	1	1	2	5	23	head	2109136
109_E4_h	109_E4	E4	109	58496742	3.39918	3680366	1	3	5	1	1	2	5	23	head	3318244
109_E8_h	109_E8	E8	109	117258766	5.53986	2412334	1	3	2	1	1	2	5	23	head	2082278
109_F11_h	109_F11	F11	109	30693336	5.07396	2402180	1	3	2	1	1	2	5	23	head	1966056
109_F12_h	109_F12	F12	109	17275050	2.16383	540212	1	3	2	1	1	2	5	23	head	440664
109_F4_h	109_F4	F4	109	13606546	2.78429	3461942	1	3	2	1	1	2	5	23	head	2903416
109_F6_h	109_F6	F6	109	23075158	4.58437	2918759	1	3	2	1	1	2	5	23	head	2392727
109_F8_h	109_F8	F8	109	29683808	6.20043	2693963	1	3	2	1	1	2	5	23	head	2167385
109_G2_h	109_G2	G2	109	28966224	6.12564	2693122	1	3	2	1	1	2	5	23	head	2196156
109_G3_h	109_G3	G3	109	28987824	5.84129	4494812	1	3	2	1	1	2	5	23	head	3814521
109_G4_h	109_G4	G4	109	28430036	6.51651	3944199	1	3	2	1	1	2	5	23	head	3231334
109_G6_h	109_G6	G6	109	33509110	4.08736	2387792	1	3	5	1	1	2	5	23	head	1938040
109_H10_h	109_H10	H10	109	6437994	1.96734	2824585	1	3	2	1	1	2	5	23	head	2329340
109_H11_h	109_H11	H11	109	32135678	9.85971	3281409	1	3	2	1	1	2	5	23	head	2849940
109_H3_h	109_H3	H3	109	20779350	4.73822	3589590	1	3	2	1	1	2	5	23	head	2851251
109_H5_h	109_H5	H5	109	61943194	8.45467	5168760	1	3	2	1	1	2	5	23	head	4173210
109_H6_h	109_H6	H6	109	144470246	6.9525	5673330	1	3	2	1	1	2	5	23	head	4772507
109_H8_h	109_H8	H8	109	25242696	4.3637	4856489	1	3	2	1	1	2	5	23	head	4219806
111_A1_h	111_A1	A1	111	7534014	4.22469	3896189	1	3	2	1	3	1	5	23	head	3177500
111_A2_h	111_A2	A2	111	7975774	4.38271	2388524	1	3	2	1	3	1	5	23	head	2010788
111_A3_h	111_A3	A3	111	5453094	3.23987	10190134	1	3	4	1	3	1	5	23	head	8368124
111_A4_h	111_A4	A4	111	7471790	4.16921	4078786	1	3	2	1	3	1	5	23	head	3455947
111_A5_h	111_A5	A5	111	9801046	3.20155	3927991	1	3	2	1	3	1	5	23	head	3209601
111_A6_h	111_A6	A6	111	7891094	4.2689	4278047	1	3	2	1	3	1	5	23	head	3765514
111_A7_h	111_A7	A7	111	7412544	4.03459	6022578	1	3	2	1	3	1	5	23	head	5069810
111_A8_h	111_A8	A8	111	8744280	4.60454	7472450	1	3	2	1	3	1	5	23	head	6357641
111_A9_h	111_A9	A9	111	8413240	3.01939	5752428	1	3	2	1	3	1	5	23	head	4867224
111_B1_h	111_B1	B1	111	8508092	4.7347	4586013	1	3	2	1	3	1	5	23	head	3851443
111_B10_h	111_B10	B10	111	9234798	2.73486	3264908	1	3	5	1	3	1	5	23	head	3006318
111_B11_h	111_B11	B11	111	8605602	3.12764	2635607	1	3	5	1	3	1	5	23	head	2409696
111_B12_h	111_B12	B12	111	8051562	2.26221	3708330	1	3	2	1	3	1	5	23	head	3021307
111_B2_h	111_B2	B2	111	10240096	5.27546	2685655	1	3	2	1	3	1	5	23	head	2308855
111_B3_h	111_B3	B3	111	8186940	4.58775	2543138	1	3	2	1	3	1	5	23	head	2106399
111_B5_h	111_B5	B5	111	8436838	4.55037	3086128	1	3	2	1	3	1	5	23	head	2472044
111_B6_h	111_B6	B6	111	8246618	4.59397	4900966	1	3	5	1	3	1	5	23	head	4089661
111_B9_h	111_B9	B9	111	8568752	4.47784	2466741	1	3	2	1	3	1	5	23	head	2070176
111_C1_h	111_C1	C1	111	8096190	4.40596	3119526	1	3	2	1	3	1	5	23	head	2704262
111_C11_h	111_C11	C11	111	7465270	3.84681	5045598	1	3	5	1	3	1	5	23	head	4399332
111_C3_h	111_C3	C3	111	7655418	4.17982	2940882	1	3	2	1	3	1	5	23	head	2532976
111_C4_h	111_C4	C4	111	8751946	4.72062	4858082	1	3	2	1	3	1	5	23	head	3931807
111_C5_h	111_C5	C5	111	10396542	5.39727	6661831	1	3	2	1	3	1	5	23	head	5622192
111_C6_h	111_C6	C6	111	8660412	4.66842	2143834	1	3	2	1	3	1	5	23	head	1686280
111_C7_h	111_C7	C7	111	7384466	3.63815	3692172	1	3	2	1	3	1	5	23	head	3014276
111_C8_h	111_C8	C8	111	9204858	4.63111	1901831	1	3	2	1	3	1	5	23	head	1572924
111_C9_h	111_C9	C9	111	8492798	4.4483	3591172	1	3	2	1	3	1	5	23	head	3162896
111_D10_h	111_D10	D10	111	7768556	4.06804	5230836	1	3	2	1	3	1	5	23	head	4327985
